material_x,cast_code,stress,temperature,fracture,elongation,RA,Comp_C,Comp_Cr,Comp_Co,Comp_Al,Comp_Ti,Comp_Mo,Comp_W,Comp_Nb,Comp_Fe,Comp_B,Comp_V,Comp_Ni,Comp_Si,Comp_Mn,Comp_Cu,Comp_S,Comp_P,Comp_N,Comp_NbTa
1,1,265,600,217.4,37,39,0.06,16.73,0,0.015,0.011,2.38,0,0,0,0.001,0,13.32,0.59,1.69,0.07,0.017,0.024,0.03,0.02
1,1,235,600,811.4,45,52,0.06,16.73,0,0.015,0.011,2.38,0,0,0,0.001,0,13.32,0.59,1.69,0.07,0.017,0.024,0.03,0.02
1,1,216,600,1704.9,40,57,0.06,16.73,0,0.015,0.011,2.38,0,0,0,0.001,0,13.32,0.59,1.69,0.07,0.017,0.024,0.03,0.02
1,1,196,600,4715.3,58,62,0.06,16.73,0,0.015,0.011,2.38,0,0,0,0.001,0,13.32,0.59,1.69,0.07,0.017,0.024,0.03,0.02
1,1,177,600,9792.7,59,59,0.06,16.73,0,0.015,0.011,2.38,0,0,0,0.001,0,13.32,0.59,1.69,0.07,0.017,0.024,0.03,0.02
1,1,157,600,18851.3,64,68,0.06,16.73,0,0.015,0.011,2.38,0,0,0,0.001,0,13.32,0.59,1.69,0.07,0.017,0.024,0.03,0.02
1,1,137,600,39090.4,54,50,0.06,16.73,0,0.015,0.011,2.38,0,0,0,0.001,0,13.32,0.59,1.69,0.07,0.017,0.024,0.03,0.02
1,1,127,600,62873.3,33,43,0.06,16.73,0,0.015,0.011,2.38,0,0,0,0.001,0,13.32,0.59,1.69,0.07,0.017,0.024,0.03,0.02
1,1,123,600,70750.7,37,46,0.06,16.73,0,0.015,0.011,2.38,0,0,0,0.001,0,13.32,0.59,1.69,0.07,0.017,0.024,0.03,0.02
1,1,118,600,102824.8,22,32,0.06,16.73,0,0.015,0.011,2.38,0,0,0,0.001,0,13.32,0.59,1.69,0.07,0.017,0.024,0.03,0.02
1,1,235,650,29.2,55,61,0.06,16.73,0,0.015,0.011,2.38,0,0,0,0.001,0,13.32,0.59,1.69,0.07,0.017,0.024,0.03,0.02
1,1,196,650,166,69,72,0.06,16.73,0,0.015,0.011,2.38,0,0,0,0.001,0,13.32,0.59,1.69,0.07,0.017,0.024,0.03,0.02
1,1,157,650,857,55,72,0.06,16.73,0,0.015,0.011,2.38,0,0,0,0.001,0,13.32,0.59,1.69,0.07,0.017,0.024,0.03,0.02
1,1,137,650,1770.6,75,68,0.06,16.73,0,0.015,0.011,2.38,0,0,0,0.001,0,13.32,0.59,1.69,0.07,0.017,0.024,0.03,0.02
1,1,108,650,9268.7,43,42,0.06,16.73,0,0.015,0.011,2.38,0,0,0,0.001,0,13.32,0.59,1.69,0.07,0.017,0.024,0.03,0.02
1,1,98,650,19876.8,21,34,0.06,16.73,0,0.015,0.011,2.38,0,0,0,0.001,0,13.32,0.59,1.69,0.07,0.017,0.024,0.03,0.02
1,1,88,650,33882.8,17,28,0.06,16.73,0,0.015,0.011,2.38,0,0,0,0.001,0,13.32,0.59,1.69,0.07,0.017,0.024,0.03,0.02
1,1,83,650,58464.6,13,20,0.06,16.73,0,0.015,0.011,2.38,0,0,0,0.001,0,13.32,0.59,1.69,0.07,0.017,0.024,0.03,0.02
1,1,78,650,65752.1,14,20,0.06,16.73,0,0.015,0.011,2.38,0,0,0,0.001,0,13.32,0.59,1.69,0.07,0.017,0.024,0.03,0.02
1,1,157,700,44.4,73,74,0.06,16.73,0,0.015,0.011,2.38,0,0,0,0.001,0,13.32,0.59,1.69,0.07,0.017,0.024,0.03,0.02
1,1,137,700,126.6,108,73,0.06,16.73,0,0.015,0.011,2.38,0,0,0,0.001,0,13.32,0.59,1.69,0.07,0.017,0.024,0.03,0.02
1,1,108,700,625.5,70,67,0.06,16.73,0,0.015,0.011,2.38,0,0,0,0.001,0,13.32,0.59,1.69,0.07,0.017,0.024,0.03,0.02
1,1,88,700,2169.7,44,45,0.06,16.73,0,0.015,0.011,2.38,0,0,0,0.001,0,13.32,0.59,1.69,0.07,0.017,0.024,0.03,0.02
1,1,74,700,8504.6,20,25,0.06,16.73,0,0.015,0.011,2.38,0,0,0,0.001,0,13.32,0.59,1.69,0.07,0.017,0.024,0.03,0.02
1,1,61,700,20446.7,18,18,0.06,16.73,0,0.015,0.011,2.38,0,0,0,0.001,0,13.32,0.59,1.69,0.07,0.017,0.024,0.03,0.02
1,1,53,700,35050.9,14,13,0.06,16.73,0,0.015,0.011,2.38,0,0,0,0.001,0,13.32,0.59,1.69,0.07,0.017,0.024,0.03,0.02
1,1,47,700,54325.7,13,10,0.06,16.73,0,0.015,0.011,2.38,0,0,0,0.001,0,13.32,0.59,1.69,0.07,0.017,0.024,0.03,0.02
1,1,41,700,71503.6,14,7,0.06,16.73,0,0.015,0.011,2.38,0,0,0,0.001,0,13.32,0.59,1.69,0.07,0.017,0.024,0.03,0.02
1,1,88,750,223.4,91,76,0.06,16.73,0,0.015,0.011,2.38,0,0,0,0.001,0,13.32,0.59,1.69,0.07,0.017,0.024,0.03,0.02
1,1,69,750,1081.9,29,28,0.06,16.73,0,0.015,0.011,2.38,0,0,0,0.001,0,13.32,0.59,1.69,0.07,0.017,0.024,0.03,0.02
1,1,53,750,4034.5,13,21,0.06,16.73,0,0.015,0.011,2.38,0,0,0,0.001,0,13.32,0.59,1.69,0.07,0.017,0.024,0.03,0.02
1,1,37,750,17022.9,20,15,0.06,16.73,0,0.015,0.011,2.38,0,0,0,0.001,0,13.32,0.59,1.69,0.07,0.017,0.024,0.03,0.02
1,2,235,600,373.8,65,55,0.05,16.42,0,0.018,0.011,2.34,0,0,0,0.0005,0,13.21,0.52,1.51,0.14,0.01,0.021,0.034,0.01
1,2,216,600,868.5,48,61,0.05,16.42,0,0.018,0.011,2.34,0,0,0,0.0005,0,13.21,0.52,1.51,0.14,0.01,0.021,0.034,0.01
1,2,216,600,887.7,47,62,0.05,16.42,0,0.018,0.011,2.34,0,0,0,0.0005,0,13.21,0.52,1.51,0.14,0.01,0.021,0.034,0.01
1,2,196,600,2716.3,53,66,0.05,16.42,0,0.018,0.011,2.34,0,0,0,0.0005,0,13.21,0.52,1.51,0.14,0.01,0.021,0.034,0.01
1,2,177,600,6914.1,47,69,0.05,16.42,0,0.018,0.011,2.34,0,0,0,0.0005,0,13.21,0.52,1.51,0.14,0.01,0.021,0.034,0.01
1,2,157,600,14743.6,45,63,0.05,16.42,0,0.018,0.011,2.34,0,0,0,0.0005,0,13.21,0.52,1.51,0.14,0.01,0.021,0.034,0.01
1,2,137,600,30572.5,51,54,0.05,16.42,0,0.018,0.011,2.34,0,0,0,0.0005,0,13.21,0.52,1.51,0.14,0.01,0.021,0.034,0.01
1,2,127,600,49271.8,40,48,0.05,16.42,0,0.018,0.011,2.34,0,0,0,0.0005,0,13.21,0.52,1.51,0.14,0.01,0.021,0.034,0.01
1,2,123,600,57106.8,66,42,0.05,16.42,0,0.018,0.011,2.34,0,0,0,0.0005,0,13.21,0.52,1.51,0.14,0.01,0.021,0.034,0.01
1,2,118,600,78637.4,37,44,0.05,16.42,0,0.018,0.011,2.34,0,0,0,0.0005,0,13.21,0.52,1.51,0.14,0.01,0.021,0.034,0.01
1,2,196,650,75,63,63,0.05,16.42,0,0.018,0.011,2.34,0,0,0,0.0005,0,13.21,0.52,1.51,0.14,0.01,0.021,0.034,0.01
1,2,157,650,495.8,88,75,0.05,16.42,0,0.018,0.011,2.34,0,0,0,0.0005,0,13.21,0.52,1.51,0.14,0.01,0.021,0.034,0.01
1,2,137,650,1335.9,78,64,0.05,16.42,0,0.018,0.011,2.34,0,0,0,0.0005,0,13.21,0.52,1.51,0.14,0.01,0.021,0.034,0.01
1,2,108,650,6790.9,53,54,0.05,16.42,0,0.018,0.011,2.34,0,0,0,0.0005,0,13.21,0.52,1.51,0.14,0.01,0.021,0.034,0.01
1,2,98,650,14432.3,31,42,0.05,16.42,0,0.018,0.011,2.34,0,0,0,0.0005,0,13.21,0.52,1.51,0.14,0.01,0.021,0.034,0.01
1,2,88,650,36748.5,220,47,0.05,16.42,0,0.018,0.011,2.34,0,0,0,0.0005,0,13.21,0.52,1.51,0.14,0.01,0.021,0.034,0.01
1,2,83,650,49051,14,17,0.05,16.42,0,0.018,0.011,2.34,0,0,0,0.0005,0,13.21,0.52,1.51,0.14,0.01,0.021,0.034,0.01
1,2,78,650,63269.6,15,17,0.05,16.42,0,0.018,0.011,2.34,0,0,0,0.0005,0,13.21,0.52,1.51,0.14,0.01,0.021,0.034,0.01
1,2,157,700,34.5,68,78,0.05,16.42,0,0.018,0.011,2.34,0,0,0,0.0005,0,13.21,0.52,1.51,0.14,0.01,0.021,0.034,0.01
1,2,137,700,99.4,85,80,0.05,16.42,0,0.018,0.011,2.34,0,0,0,0.0005,0,13.21,0.52,1.51,0.14,0.01,0.021,0.034,0.01
1,2,108,700,468.7,85,80,0.05,16.42,0,0.018,0.011,2.34,0,0,0,0.0005,0,13.21,0.52,1.51,0.14,0.01,0.021,0.034,0.01
1,2,88,700,1636.2,87,73,0.05,16.42,0,0.018,0.011,2.34,0,0,0,0.0005,0,13.21,0.52,1.51,0.14,0.01,0.021,0.034,0.01
1,2,88,700,1796.7,83,73,0.05,16.42,0,0.018,0.011,2.34,0,0,0,0.0005,0,13.21,0.52,1.51,0.14,0.01,0.021,0.034,0.01
1,2,74,700,6016.8,50,45,0.05,16.42,0,0.018,0.011,2.34,0,0,0,0.0005,0,13.21,0.52,1.51,0.14,0.01,0.021,0.034,0.01
1,2,61,700,15769.8,35,31,0.05,16.42,0,0.018,0.011,2.34,0,0,0,0.0005,0,13.21,0.52,1.51,0.14,0.01,0.021,0.034,0.01
1,2,53,700,29984,24,20,0.05,16.42,0,0.018,0.011,2.34,0,0,0,0.0005,0,13.21,0.52,1.51,0.14,0.01,0.021,0.034,0.01
1,2,47,700,47416.5,19,13,0.05,16.42,0,0.018,0.011,2.34,0,0,0,0.0005,0,13.21,0.52,1.51,0.14,0.01,0.021,0.034,0.01
1,2,41,700,75033.7,13,10,0.05,16.42,0,0.018,0.011,2.34,0,0,0,0.0005,0,13.21,0.52,1.51,0.14,0.01,0.021,0.034,0.01
1,2,88,750,161.4,80,83,0.05,16.42,0,0.018,0.011,2.34,0,0,0,0.0005,0,13.21,0.52,1.51,0.14,0.01,0.021,0.034,0.01
1,2,69,750,865,75,71,0.05,16.42,0,0.018,0.011,2.34,0,0,0,0.0005,0,13.21,0.52,1.51,0.14,0.01,0.021,0.034,0.01
1,2,51,750,4512.5,36,33,0.05,16.42,0,0.018,0.011,2.34,0,0,0,0.0005,0,13.21,0.52,1.51,0.14,0.01,0.021,0.034,0.01
1,2,37,750,21757,28,21,0.05,16.42,0,0.018,0.011,2.34,0,0,0,0.0005,0,13.21,0.52,1.51,0.14,0.01,0.021,0.034,0.01
1,3,265,600,207.4,31,35,0.05,17.5,0,0.027,0.055,2.28,0,0,0,0.0013,0,13.5,0.71,0.152,0.17,0.013,0.022,0.035,0.02
1,3,235,600,777.2,49,59,0.05,17.5,0,0.027,0.055,2.28,0,0,0,0.0013,0,13.5,0.71,0.152,0.17,0.013,0.022,0.035,0.02
1,3,216,600,2167.3,37,61,0.05,17.5,0,0.027,0.055,2.28,0,0,0,0.0013,0,13.5,0.71,0.152,0.17,0.013,0.022,0.035,0.02
1,3,196,600,8333.1,63,71,0.05,17.5,0,0.027,0.055,2.28,0,0,0,0.0013,0,13.5,0.71,0.152,0.17,0.013,0.022,0.035,0.02
1,3,177,600,15001,48,75,0.05,17.5,0,0.027,0.055,2.28,0,0,0,0.0013,0,13.5,0.71,0.152,0.17,0.013,0.022,0.035,0.02
1,3,157,600,24572.5,56,77,0.05,17.5,0,0.027,0.055,2.28,0,0,0,0.0013,0,13.5,0.71,0.152,0.17,0.013,0.022,0.035,0.02
1,3,137,600,42329.2,60,75,0.05,17.5,0,0.027,0.055,2.28,0,0,0,0.0013,0,13.5,0.71,0.152,0.17,0.013,0.022,0.035,0.02
1,3,127,600,63872.6,65,65,0.05,17.5,0,0.027,0.055,2.28,0,0,0,0.0013,0,13.5,0.71,0.152,0.17,0.013,0.022,0.035,0.02
1,3,118,600,99189.7,59,53,0.05,17.5,0,0.027,0.055,2.28,0,0,0,0.0013,0,13.5,0.71,0.152,0.17,0.013,0.022,0.035,0.02
1,3,108,600,173814.3,28,37,0.05,17.5,0,0.027,0.055,2.28,0,0,0,0.0013,0,13.5,0.71,0.152,0.17,0.013,0.022,0.035,0.02
1,3,216,650,78.6,59,73,0.05,17.5,0,0.027,0.055,2.28,0,0,0,0.0013,0,13.5,0.71,0.152,0.17,0.013,0.022,0.035,0.02
1,3,196,650,161.7,56,74,0.05,17.5,0,0.027,0.055,2.28,0,0,0,0.0013,0,13.5,0.71,0.152,0.17,0.013,0.022,0.035,0.02
1,3,157,650,1600.8,77,77,0.05,17.5,0,0.027,0.055,2.28,0,0,0,0.0013,0,13.5,0.71,0.152,0.17,0.013,0.022,0.035,0.02
1,3,137,650,2819.6,64,73,0.05,17.5,0,0.027,0.055,2.28,0,0,0,0.0013,0,13.5,0.71,0.152,0.17,0.013,0.022,0.035,0.02
1,3,108,650,10784,54,56,0.05,17.5,0,0.027,0.055,2.28,0,0,0,0.0013,0,13.5,0.71,0.152,0.17,0.013,0.022,0.035,0.02
1,3,98,650,17413.6,32,39,0.05,17.5,0,0.027,0.055,2.28,0,0,0,0.0013,0,13.5,0.71,0.152,0.17,0.013,0.022,0.035,0.02
1,3,88,650,34199,21,33,0.05,17.5,0,0.027,0.055,2.28,0,0,0,0.0013,0,13.5,0.71,0.152,0.17,0.013,0.022,0.035,0.02
1,3,78,650,78146.5,11,15,0.05,17.5,0,0.027,0.055,2.28,0,0,0,0.0013,0,13.5,0.71,0.152,0.17,0.013,0.022,0.035,0.02
1,3,157,700,51.5,65,79,0.05,17.5,0,0.027,0.055,2.28,0,0,0,0.0013,0,13.5,0.71,0.152,0.17,0.013,0.022,0.035,0.02
