Material_x,Cast_code,Stress,Temp,Frac,Elong,RA,C,Cr,Co,Al,Ti,Mo,W,Nb,Fe,B,V,Ni,Si,Mn,Cu,S,P,N,NbTa
32,221,9.94129531148777,998.557817666256,51106.0273455107,17.3429886032373,24.9204705789761,0.48,25.64,0.45,1e-05,1e-05,0.06,0,0,0,0,0,34.47,0.83,1.01,0.03,0.005,0.009,0.079,1e-05
32,221,9.90421577130775,1011.76003176417,50191.8862944368,17.1595732525698,25.4166959305748,0.48,25.64,0.45,1e-05,1e-05,0.06,0,0,0,0,0,34.47,0.83,1.01,0.03,0.005,0.009,0.079,1e-05
32,221,10.1060233878352,992.69518417607,49744.0276479673,16.865626909047,24.9056983349279,0.48,25.64,0.45,1e-05,1e-05,0.06,0,0,0,0,0,34.47,0.83,1.01,0.03,0.005,0.009,0.079,1e-05
32,221,10.0540521869287,988.205050940216,50009.5525929625,16.8404308403578,24.8359014807413,0.48,25.64,0.45,1e-05,1e-05,0.06,0,0,0,0,0,34.47,0.83,1.01,0.03,0.005,0.009,0.079,1e-05
32,221,9.82235883853222,1011.40607954382,50886.1164618826,16.9347242940863,24.8034884278498,0.48,25.64,0.45,1e-05,1e-05,0.06,0,0,0,0,0,34.47,0.83,1.01,0.03,0.005,0.009,0.079,1e-05
32,221,9.96991639027228,994.017665099502,50376.0593963729,16.9467656240173,24.8227460790171,0.48,25.64,0.45,1e-05,1e-05,0.06,0,0,0,0,0,34.47,0.83,1.01,0.03,0.005,0.009,0.079,1e-05
32,221,9.94782984516385,1020.44869764589,49389.2241355711,17.2109464536943,25.3821858636599,0.48,25.64,0.45,1e-05,1e-05,0.06,0,0,0,0,0,34.47,0.83,1.01,0.03,0.005,0.009,0.079,1e-05
32,221,10.0420194080356,1008.96227623857,50778.4596021764,17.2563615893368,25.3624370361814,0.48,25.64,0.45,1e-05,1e-05,0.06,0,0,0,0,0,34.47,0.83,1.01,0.03,0.005,0.009,0.079,1e-05
32,221,9.989010803439,997.172951509038,50700.1004082722,16.9860366988449,24.8896992348339,0.48,25.64,0.45,1e-05,1e-05,0.06,0,0,0,0,0,34.47,0.83,1.01,0.03,0.005,0.009,0.079,1e-05
32,221,9.98141124075299,991.472191828639,51105.5240271269,16.94029961789,24.6518043109471,0.48,25.64,0.45,1e-05,1e-05,0.06,0,0,0,0,0,34.47,0.83,1.01,0.03,0.005,0.009,0.079,1e-05
32,221,9.94445759820094,1011.6208365414,50150.4662632368,17.3305737609511,25.2716261585992,0.48,25.64,0.45,1e-05,1e-05,0.06,0,0,0,0,0,34.47,0.83,1.01,0.03,0.005,0.009,0.079,1e-05
32,221,9.95061683313982,1001.51841612603,50592.0962962724,17.0585070282439,24.9388205892212,0.48,25.64,0.45,1e-05,1e-05,0.06,0,0,0,0,0,34.47,0.83,1.01,0.03,0.005,0.009,0.079,1e-05
32,221,10.1129177631454,999.308749518036,49242.4206483086,17.285712453574,25.4401555828273,0.48,25.64,0.45,1e-05,1e-05,0.06,0,0,0,0,0,34.47,0.83,1.01,0.03,0.005,0.009,0.079,1e-05
32,221,9.99815121435151,1008.51332922289,50261.5411168612,17.2501892290214,25.1235160497229,0.48,25.64,0.45,1e-05,1e-05,0.06,0,0,0,0,0,34.47,0.83,1.01,0.03,0.005,0.009,0.079,1e-05
32,221,9.93855815205232,1002.52493479126,50417.2414727509,17.0075993047576,24.9108198102861,0.48,25.64,0.45,1e-05,1e-05,0.06,0,0,0,0,0,34.47,0.83,1.01,0.03,0.005,0.009,0.079,1e-05
32,221,9.99853229159497,992.819155452089,51013.7844969976,16.9452266575799,25.0150720286323,0.48,25.64,0.45,1e-05,1e-05,0.06,0,0,0,0,0,34.47,0.83,1.01,0.03,0.005,0.009,0.079,1e-05
32,221,10.3089090088476,979.846659163789,48318.4957571856,16.8852495269433,24.8802254081359,0.48,25.64,0.45,1e-05,1e-05,0.06,0,0,0,0,0,34.47,0.83,1.01,0.03,0.005,0.009,0.079,1e-05
32,221,10.1708823300278,989.573738591721,50063.6192476325,17.0150112249277,24.9479985157315,0.48,25.64,0.45,1e-05,1e-05,0.06,0,0,0,0,0,34.47,0.83,1.01,0.03,0.005,0.009,0.079,1e-05
32,221,9.93011043732489,1008.9847569411,49827.032213175,16.8147114013104,24.6676222632149,0.48,25.64,0.45,1e-05,1e-05,0.06,0,0,0,0,0,34.47,0.83,1.01,0.03,0.005,0.009,0.079,1e-05
32,221,9.99030722815404,999.619243847923,50348.6217660105,17.0241802143435,24.9224195149934,0.48,25.64,0.45,1e-05,1e-05,0.06,0,0,0,0,0,34.47,0.83,1.01,0.03,0.005,0.009,0.079,1e-05
32,221,10.0325497208293,1002.26962028499,49154.0482330451,16.8196122553125,25.0080125331219,0.48,25.64,0.45,1e-05,1e-05,0.06,0,0,0,0,0,34.47,0.83,1.01,0.03,0.005,0.009,0.079,1e-05
32,221,10.1324697622829,997.502325522378,49816.7450905076,17.0540100845075,25.4117739557476,0.48,25.64,0.45,1e-05,1e-05,0.06,0,0,0,0,0,34.47,0.83,1.01,0.03,0.005,0.009,0.079,1e-05
32,221,9.97344440039182,1012.21719037787,49910.8980837906,17.3203715464945,25.5825269071034,0.48,25.64,0.45,1e-05,1e-05,0.06,0,0,0,0,0,34.47,0.83,1.01,0.03,0.005,0.009,0.079,1e-05
32,221,10.0799742669038,987.283022684997,50038.3066908013,17.067588450827,25.2975278144809,0.48,25.64,0.45,1e-05,1e-05,0.06,0,0,0,0,0,34.47,0.83,1.01,0.03,0.005,0.009,0.079,1e-05
