material_x,cast_code,temperature,PS_02,UTS,elongation,RofA,Comp_C,Comp_Cr,Comp_Co,Comp_Al,Comp_Ti,Comp_Mo,Comp_W,Comp_Nb,Comp_Fe,Comp_B,Comp_V,Comp_Ni,Comp_Si,Comp_Mn,Comp_Cu,Comp_S,Comp_P,Comp_N,Comp_NbTa
1,1,20,224,578,68,81,0.06,16.73,0,0.015,0.011,2.38,0,0,0,0.001,0,13.32,0.59,1.69,0.07,0.017,0.024,0.03,0.02
1,1,100,198,509,54,81,0.06,16.73,0,0.015,0.011,2.38,0,0,0,0.001,0,13.32,0.59,1.69,0.07,0.017,0.024,0.03,0.02
1,1,200,175,480,47,77,0.06,16.73,0,0.015,0.011,2.38,0,0,0,0.001,0,13.32,0.59,1.69,0.07,0.017,0.024,0.03,0.02
1,1,300,160,480,46,76,0.06,16.73,0,0.015,0.011,2.38,0,0,0,0.001,0,13.32,0.59,1.69,0.07,0.017,0.024,0.03,0.02
1,1,400,146,485,44,70,0.06,16.73,0,0.015,0.011,2.38,0,0,0,0.001,0,13.32,0.59,1.69,0.07,0.017,0.024,0.03,0.02
1,1,500,141,475,47,70,0.06,16.73,0,0.015,0.011,2.38,0,0,0,0.001,0,13.32,0.59,1.69,0.07,0.017,0.024,0.03,0.02
1,1,550,146,460,45,68,0.06,16.73,0,0.015,0.011,2.38,0,0,0,0.001,0,13.32,0.59,1.69,0.07,0.017,0.024,0.03,0.02
1,1,600,129,419,46,72,0.06,16.73,0,0.015,0.011,2.38,0,0,0,0.001,0,13.32,0.59,1.69,0.07,0.017,0.024,0.03,0.02
1,1,650,136,343,44,64,0.06,16.73,0,0.015,0.011,2.38,0,0,0,0.001,0,13.32,0.59,1.69,0.07,0.017,0.024,0.03,0.02
1,1,700,135,307,60,65,0.06,16.73,0,0.015,0.011,2.38,0,0,0,0.001,0,13.32,0.59,1.69,0.07,0.017,0.024,0.03,0.02
1,1,750,125,234,64,66,0.06,16.73,0,0.015,0.011,2.38,0,0,0,0.001,0,13.32,0.59,1.69,0.07,0.017,0.024,0.03,0.02
1,2,20,213,568,68,81,0.05,16.42,0,0.018,0.011,2.34,0,0,0,0.0005,0,13.21,0.52,1.51,0.14,0.01,0.021,0.034,0.01
1,2,100,202,498,55,78,0.05,16.42,0,0.018,0.011,2.34,0,0,0,0.0005,0,13.21,0.52,1.51,0.14,0.01,0.021,0.034,0.01
1,2,200,173,461,46,79,0.05,16.42,0,0.018,0.011,2.34,0,0,0,0.0005,0,13.21,0.52,1.51,0.14,0.01,0.021,0.034,0.01
1,2,300,151,461,43,73,0.05,16.42,0,0.018,0.011,2.34,0,0,0,0.0005,0,13.21,0.52,1.51,0.14,0.01,0.021,0.034,0.01
1,2,400,140,462,45,71,0.05,16.42,0,0.018,0.011,2.34,0,0,0,0.0005,0,13.21,0.52,1.51,0.14,0.01,0.021,0.034,0.01
1,2,500,135,450,44,72,0.05,16.42,0,0.018,0.011,2.34,0,0,0,0.0005,0,13.21,0.52,1.51,0.14,0.01,0.021,0.034,0.01
1,2,550,125,431,46,71,0.05,16.42,0,0.018,0.011,2.34,0,0,0,0.0005,0,13.21,0.52,1.51,0.14,0.01,0.021,0.034,0.01
1,2,600,134,405,46,72,0.05,16.42,0,0.018,0.011,2.34,0,0,0,0.0005,0,13.21,0.52,1.51,0.14,0.01,0.021,0.034,0.01
1,2,650,122,346,49,71,0.05,16.42,0,0.018,0.011,2.34,0,0,0,0.0005,0,13.21,0.52,1.51,0.14,0.01,0.021,0.034,0.01
1,2,700,114,286,59,60,0.05,16.42,0,0.018,0.011,2.34,0,0,0,0.0005,0,13.21,0.52,1.51,0.14,0.01,0.021,0.034,0.01
1,2,750,120,242,69,66,0.05,16.42,0,0.018,0.011,2.34,0,0,0,0.0005,0,13.21,0.52,1.51,0.14,0.01,0.021,0.034,0.01
1,3,20,234,572,66,82,0.05,17.5,0,0.027,0.055,2.28,0,0,0,0.0013,0,13.5,0.71,0.152,0.17,0.013,0.022,0.035,0.02
1,3,100,203,507,54,82,0.05,17.5,0,0.027,0.055,2.28,0,0,0,0.0013,0,13.5,0.71,0.152,0.17,0.013,0.022,0.035,0.02
1,3,200,171,469,46,80,0.05,17.5,0,0.027,0.055,2.28,0,0,0,0.0013,0,13.5,0.71,0.152,0.17,0.013,0.022,0.035,0.02
1,3,300,156,472,44,75,0.05,17.5,0,0.027,0.055,2.28,0,0,0,0.0013,0,13.5,0.71,0.152,0.17,0.013,0.022,0.035,0.02
1,3,400,148,478,44,70,0.05,17.5,0,0.027,0.055,2.28,0,0,0,0.0013,0,13.5,0.71,0.152,0.17,0.013,0.022,0.035,0.02
1,3,500,146,466,46,71,0.05,17.5,0,0.027,0.055,2.28,0,0,0,0.0013,0,13.5,0.71,0.152,0.17,0.013,0.022,0.035,0.02
1,3,550,148,453,45,68,0.05,17.5,0,0.027,0.055,2.28,0,0,0,0.0013,0,13.5,0.71,0.152,0.17,0.013,0.022,0.035,0.02
1,3,600,130,419,44,71,0.05,17.5,0,0.027,0.055,2.28,0,0,0,0.0013,0,13.5,0.71,0.152,0.17,0.013,0.022,0.035,0.02
1,3,650,130,367,49,71,0.05,17.5,0,0.027,0.055,2.28,0,0,0,0.0013,0,13.5,0.71,0.152,0.17,0.013,0.022,0.035,0.02
1,3,700,122,300,55,62,0.05,17.5,0,0.027,0.055,2.28,0,0,0,0.0013,0,13.5,0.71,0.152,0.17,0.013,0.022,0.035,0.02
1,3,750,120,248,67,68,0.05,17.5,0,0.027,0.055,2.28,0,0,0,0.0013,0,13.5,0.71,0.152,0.17,0.013,0.022,0.035,0.02
1,4,20,267,572,66,82,0.058,16.86,0,0.041,0.028,2.14,0,0,0,0.0009,0,13.65,0.58,1.56,0.17,0.008,0.027,0.025,0.01
1,4,100,250,512,51,82,0.058,16.86,0,0.041,0.028,2.14,0,0,0,0.0009,0,13.65,0.58,1.56,0.17,0.008,0.027,0.025,0.01
1,4,200,207,480,45,79,0.058,16.86,0,0.041,0.028,2.14,0,0,0,0.0009,0,13.65,0.58,1.56,0.17,0.008,0.027,0.025,0.01
1,4,300,195,481,45,73,0.058,16.86,0,0.041,0.028,2.14,0,0,0,0.0009,0,13.65,0.58,1.56,0.17,0.008,0.027,0.025,0.01
1,4,400,190,484,43,72,0.058,16.86,0,0.041,0.028,2.14,0,0,0,0.0009,0,13.65,0.58,1.56,0.17,0.008,0.027,0.025,0.01
1,4,500,164,462,46,71,0.058,16.86,0,0.041,0.028,2.14,0,0,0,0.0009,0,13.65,0.58,1.56,0.17,0.008,0.027,0.025,0.01
1,4,550,174,456,46,74,0.058,16.86,0,0.041,0.028,2.14,0,0,0,0.0009,0,13.65,0.58,1.56,0.17,0.008,0.027,0.025,0.01
1,4,600,160,394,46,71,0.058,16.86,0,0.041,0.028,2.14,0,0,0,0.0009,0,13.65,0.58,1.56,0.17,0.008,0.027,0.025,0.01
1,4,650,147,371,51,71,0.058,16.86,0,0.041,0.028,2.14,0,0,0,0.0009,0,13.65,0.58,1.56,0.17,0.008,0.027,0.025,0.01
1,4,700,146,273,52,64,0.058,16.86,0,0.041,0.028,2.14,0,0,0,0.0009,0,13.65,0.58,1.56,0.17,0.008,0.027,0.025,0.01
1,4,750,138,245,62,63,0.058,16.86,0,0.041,0.028,2.14,0,0,0,0.0009,0,13.65,0.58,1.56,0.17,0.008,0.027,0.025,0.01
