Material_x,Cast_code,Temp,PS02,UTS,Elong,RofA,C,Cr,Co,Al,Ti,Mo,W,Nb,Fe,B,V,Ni,Si,Mn,Cu,S,P,N,NbTa
7,45,806.969901192853,120.754167479081,206.445837705727,79.7657254373505,84.6695474901888,0.05,17.05,0,0.001,0.03,2.24,0,0,0,0.003,0,12.6,0.7,1.1,0.31,0.003,0.034,0.017,0.001
7,45,789.635051790601,123.713869447521,209.376100162303,79.6364758756332,84.5868504894016,0.05,17.05,0,0.001,0.03,2.24,0,0,0,0.003,0,12.6,0.7,1.1,0.31,0.003,0.034,0.017,0.001
7,45,800.250135587224,121.397503074505,205.483403501768,81.4766839665998,86.7282170685837,0.05,17.05,0,0.001,0.03,2.24,0,0,0,0.003,0,12.6,0.7,1.1,0.31,0.003,0.034,0.017,0.001
7,45,792.204943717918,123.648131987423,205.505783497958,82.1804565495611,87.3692487123909,0.05,17.05,0,0.001,0.03,2.24,0,0,0,0.003,0,12.6,0.7,1.1,0.31,0.003,0.034,0.017,0.001
7,45,787.611244531987,123.427475984416,209.155449208301,80.657970836709,85.9884360446863,0.05,17.05,0,0.001,0.03,2.24,0,0,0,0.003,0,12.6,0.7,1.1,0.31,0.003,0.034,0.017,0.001
7,45,799.337436406721,121.50026122839,205.57953705362,81.7614275984912,86.8740461110465,0.05,17.05,0,0.001,0.03,2.24,0,0,0,0.003,0,12.6,0.7,1.1,0.31,0.003,0.034,0.017,0.001
7,45,795.111633160333,122.215157975793,207.306398717909,81.0409129522268,86.2936001640588,0.05,17.05,0,0.001,0.03,2.24,0,0,0,0.003,0,12.6,0.7,1.1,0.31,0.003,0.034,0.017,0.001
7,45,802.070426712612,121.833747099387,204.308600565664,81.6873456046697,86.5965283303464,0.05,17.05,0,0.001,0.03,2.24,0,0,0,0.003,0,12.6,0.7,1.1,0.31,0.003,0.034,0.017,0.001
7,45,794.239586799254,122.877542402069,209.772017749294,78.9470079751289,83.7930623899614,0.05,17.05,0,0.001,0.03,2.24,0,0,0,0.003,0,12.6,0.7,1.1,0.31,0.003,0.034,0.017,0.001
7,45,801.363280807247,121.299067905956,204.664604383817,81.9601208790484,86.9425483429569,0.05,17.05,0,0.001,0.03,2.24,0,0,0,0.003,0,12.6,0.7,1.1,0.31,0.003,0.034,0.017,0.001
7,45,805.306924520655,121.656179511671,203.728159326671,81.6561901737627,86.116460040168,0.05,17.05,0,0.001,0.03,2.24,0,0,0,0.003,0,12.6,0.7,1.1,0.31,0.003,0.034,0.017,0.001
7,45,790.270500976425,123.153706250117,207.076019951382,81.6466084725679,86.9246476037148,0.05,17.05,0,0.001,0.03,2.24,0,0,0,0.003,0,12.6,0.7,1.1,0.31,0.003,0.034,0.017,0.001
7,45,802.562311945047,121.60836379652,206.369067640839,80.3163345676051,85.5507633177261,0.05,17.05,0,0.001,0.03,2.24,0,0,0,0.003,0,12.6,0.7,1.1,0.31,0.003,0.034,0.017,0.001
7,45,809.204045611734,120.393218193265,202.484485966575,82.6697243639898,87.5379592944484,0.05,17.05,0,0.001,0.03,2.24,0,0,0,0.003,0,12.6,0.7,1.1,0.31,0.003,0.034,0.017,0.001
7,45,806.287192915699,121.154820057885,205.120917118954,80.5379689591317,85.4710099594887,0.05,17.05,0,0.001,0.03,2.24,0,0,0,0.003,0,12.6,0.7,1.1,0.31,0.003,0.034,0.017,0.001
7,45,806.186380902339,120.740568566921,205.034141466525,81.0543200119918,86.0694049920684,0.05,17.05,0,0.001,0.03,2.24,0,0,0,0.003,0,12.6,0.7,1.1,0.31,0.003,0.034,0.017,0.001
7,45,776.526969099704,125.816763786629,210.108236947261,81.1439647874919,86.9319085319553,0.05,17.05,0,0.001,0.03,2.24,0,0,0,0.003,0,12.6,0.7,1.1,0.31,0.003,0.034,0.017,0.001
7,45,790.728135071122,123.722758374883,207.753441170671,80.905366624608,86.2178983499731,0.05,17.05,0,0.001,0.03,2.24,0,0,0,0.003,0,12.6,0.7,1.1,0.31,0.003,0.034,0.017,0.001
7,45,802.719015948288,121.760280389738,206.260677092133,80.182847654047,85.0763592069957,0.05,17.05,0,0.001,0.03,2.24,0,0,0,0.003,0,12.6,0.7,1.1,0.31,0.003,0.034,0.017,0.001
7,45,794.046447314667,123.344099375522,206.075133898727,81.6432102618324,86.4885600199756,0.05,17.05,0,0.001,0.03,2.24,0,0,0,0.003,0,12.6,0.7,1.1,0.31,0.003,0.034,0.017,0.001
7,45,798.305597808717,122.128704497837,206.79579855656,80.952235596811,86.0042281906801,0.05,17.05,0,0.001,0.03,2.24,0,0,0,0.003,0,12.6,0.7,1.1,0.31,0.003,0.034,0.017,0.001
7,45,810.009075453268,120.579251806697,203.573952132227,81.3759276557668,86.1278876980076,0.05,17.05,0,0.001,0.03,2.24,0,0,0,0.003,0,12.6,0.7,1.1,0.31,0.003,0.034,0.017,0.001
7,45,790.722181813805,123.899427398029,207.0510843946,81.494261132973,86.4661802198976,0.05,17.05,0,0.001,0.03,2.24,0,0,0,0.003,0,12.6,0.7,1.1,0.31,0.003,0.034,0.017,0.001
7,45,800.988790226924,121.413721507545,204.437853925436,82.179298282502,87.365492686987,0.05,17.05,0,0.001,0.03,2.24,0,0,0,0.003,0,12.6,0.7,1.1,0.31,0.003,0.034,0.017,0.001
7,45,799.309866339345,122.063396572124,204.833231918051,82.0041034548127,86.9043548834653,0.05,17.05,0,0.001,0.03,2.24,0,0,0,0.003,0,12.6,0.7,1.1,0.31,0.003,0.034,0.017,0.001
7,45,799.35536292555,122.217520329148,205.226658403676,81.4871899274466,85.9443318525902,0.05,17.05,0,0.001,0.03,2.24,0,0,0,0.003,0,12.6,0.7,1.1,0.31,0.003,0.034,0.017,0.001
7,45,796.677955617493,122.553156054456,206.146761379713,81.3692506397612,86.4359924261975,0.05,17.05,0,0.001,0.03,2.24,0,0,0,0.003,0,12.6,0.7,1.1,0.31,0.003,0.034,0.017,0.001
7,45,796.144433595851,122.588907367533,205.218258551964,82.1413455953027,86.9976789161648,0.05,17.05,0,0.001,0.03,2.24,0,0,0,0.003,0,12.6,0.7,1.1,0.31,0.003,0.034,0.017,0.001
7,45,801.178642688337,122.051510026958,204.946991556275,81.5069336820987,86.3964609005232,0.05,17.05,0,0.001,0.03,2.24,0,0,0,0.003,0,12.6,0.7,1.1,0.31,0.003,0.034,0.017,0.001
7,45,802.468213396623,122.069064885749,204.922549009619,81.3114304738175,86.0356457460437,0.05,17.05,0,0.001,0.03,2.24,0,0,0,0.003,0,12.6,0.7,1.1,0.31,0.003,0.034,0.017,0.001
7,45,792.324723814485,123.44732224764,207.288953356878,80.7008309599516,85.6578576925836,0.05,17.05,0,0.001,0.03,2.24,0,0,0,0.003,0,12.6,0.7,1.1,0.31,0.003,0.034,0.017,0.001
7,45,807.623409694262,120.984744745977,203.420676096424,81.7962596763966,86.7214901948929,0.05,17.05,0,0.001,0.03,2.24,0,0,0,0.003,0,12.6,0.7,1.1,0.31,0.003,0.034,0.017,0.001
7,45,788.797280047728,123.701693967381,208.286344252081,80.7544732159106,85.8209029408145,0.05,17.05,0,0.001,0.03,2.24,0,0,0,0.003,0,12.6,0.7,1.1,0.31,0.003,0.034,0.017,0.001
7,45,794.211310435571,123.081782984064,206.188345410163,81.4498421933175,86.33101131474,0.05,17.05,0,0.001,0.03,2.24,0,0,0,0.003,0,12.6,0.7,1.1,0.31,0.003,0.034,0.017,0.001
7,45,808.329385980824,120.515580827824,204.790269405557,80.8076267620205,85.6928275186993,0.05,17.05,0,0.001,0.03,2.24,0,0,0,0.003,0,12.6,0.7,1.1,0.31,0.003,0.034,0.017,0.001
7,45,794.461661069346,123.089267049683,207.652454189978,80.1477493639325,85.1927561792229,0.05,17.05,0,0.001,0.03,2.24,0,0,0,0.003,0,12.6,0.7,1.1,0.31,0.003,0.034,0.017,0.001
